company_id,pros_count,cons_count,summary
HDFCBANK,3,1,The company shows healthy financial performance with more strengths than weaknesses.
HDFCLIFE,4,1,The company shows healthy financial performance with more strengths than weaknesses.
HEROMOTOCO,5,1,The company shows healthy financial performance with more strengths than weaknesses.
HINDALCO,3,1,The company shows healthy financial performance with more strengths than weaknesses.
HINDUNILVR,5,0,"The company demonstrates excellent financial strength with strong profitability, cash generation and operational efficiency."
ICICIBANK,3,1,The company shows healthy financial performance with more strengths than weaknesses.
ICICIGI,2,0,The company shows healthy financial performance with more strengths than weaknesses.
ICICIPRULI,3,1,The company shows healthy financial performance with more strengths than weaknesses.
INDIGO,8,0,"The company demonstrates excellent financial strength with strong profitability, cash generation and operational efficiency."
INDUSINDBK,3,2,The company shows healthy financial performance with more strengths than weaknesses.
INFY,3,0,The company shows healthy financial performance with more strengths than weaknesses.
IOC,2,0,The company shows healthy financial performance with more strengths than weaknesses.
IRCTC,5,0,"The company demonstrates excellent financial strength with strong profitability, cash generation and operational efficiency."
IRFC,3,1,The company shows healthy financial performance with more strengths than weaknesses.
ITC,4,0,The company shows healthy financial performance with more strengths than weaknesses.
JINDALSTEL,0,2,The company exhibits multiple financial weaknesses that require careful evaluation.
JIOFIN,3,1,The company shows healthy financial performance with more strengths than weaknesses.
JSWENERGY,2,3,The company exhibits multiple financial weaknesses that require careful evaluation.
JSWSTEEL,1,1,The company has a balanced financial profile with both strengths and weaknesses.
KOTAKBANK,2,1,The company shows healthy financial performance with more strengths than weaknesses.
LICI,5,0,"The company demonstrates excellent financial strength with strong profitability, cash generation and operational efficiency."
LODHA,1,2,The company exhibits multiple financial weaknesses that require careful evaluation.
LT,1,0,The company shows healthy financial performance with more strengths than weaknesses.
LTIM,6,0,"The company demonstrates excellent financial strength with strong profitability, cash generation and operational efficiency."
M&M,0,2,The company exhibits multiple financial weaknesses that require careful evaluation.
MARUTI,3,0,The company shows healthy financial performance with more strengths than weaknesses.
MOTHERSON,1,0,The company shows healthy financial performance with more strengths than weaknesses.
NAUKRI,4,2,The company shows healthy financial performance with more strengths than weaknesses.
NESTLEIND,4,0,The company shows healthy financial performance with more strengths than weaknesses.
NHPC,2,1,The company shows healthy financial performance with more strengths than weaknesses.
NTPC,1,0,The company shows healthy financial performance with more strengths than weaknesses.
ONGC,1,0,The company shows healthy financial performance with more strengths than weaknesses.
PFC,2,2,The company has a balanced financial profile with both strengths and weaknesses.
PIDILITIND,3,0,The company shows healthy financial performance with more strengths than weaknesses.
PNB,3,2,The company shows healthy financial performance with more strengths than weaknesses.
POWERGRID,2,0,The company shows healthy financial performance with more strengths than weaknesses.
RECLTD,2,3,The company exhibits multiple financial weaknesses that require careful evaluation.
SBILIFE,4,1,The company shows healthy financial performance with more strengths than weaknesses.
SBIN,1,0,The company shows healthy financial performance with more strengths than weaknesses.
SHREECEM,2,1,The company shows healthy financial performance with more strengths than weaknesses.
SHRIRAMFIN,3,3,The company has a balanced financial profile with both strengths and weaknesses.
SIEMENS,1,0,The company shows healthy financial performance with more strengths than weaknesses.
SUNPHARMA,4,0,The company shows healthy financial performance with more strengths than weaknesses.
TATACONSUM,3,0,The company shows healthy financial performance with more strengths than weaknesses.
TATAMOTORS,1,0,The company shows healthy financial performance with more strengths than weaknesses.
TATAPOWER,1,1,The company has a balanced financial profile with both strengths and weaknesses.
TATASTEEL,1,0,The company shows healthy financial performance with more strengths than weaknesses.
TCS,4,0,The company shows healthy financial performance with more strengths than weaknesses.
TECHM,3,1,The company shows healthy financial performance with more strengths than weaknesses.
TITAN,3,1,The company shows healthy financial performance with more strengths than weaknesses.
TORNTPHARM,6,0,"The company demonstrates excellent financial strength with strong profitability, cash generation and operational efficiency."
TRENT,4,0,The company shows healthy financial performance with more strengths than weaknesses.
TVSMOTOR,1,3,The company exhibits multiple financial weaknesses that require careful evaluation.
ULTRACEMCO,4,0,The company shows healthy financial performance with more strengths than weaknesses.
UNIONBANK,2,1,The company shows healthy financial performance with more strengths than weaknesses.
UNITDSPR,2,1,The company shows healthy financial performance with more strengths than weaknesses.
VBL,4,1,The company shows healthy financial performance with more strengths than weaknesses.
VEDL,3,1,The company shows healthy financial performance with more strengths than weaknesses.
WIPRO,2,0,The company shows healthy financial performance with more strengths than weaknesses.
ZOMATO,3,1,The company shows healthy financial performance with more strengths than weaknesses.
ZYDUSLIFE,4,0,The company shows healthy financial performance with more strengths than weaknesses.
